ID,Name,Price,"Quantity on Hand"
641,"Brandy Ottoman",$52.99,70
642,"Honeydew Coffee Table",$200,48
643,"Spanish sky blue Loveseat",$269.99,51
644,"Green-blue Headboard",$222.99,7
645,"Salmon pink Bench",$114.99,25
646,"Egyptian blue Dining Table",$800,7
647,"Salmon Nightstand",$81.99,32
648,"Wisteria purple Reclining Loveseat","$1,023.99",70
649,"Blue-violet Stool",$54.99,74
650,"Bottle green Crib",$289,15
651,"Steel pink Sofa",$649.99,46
652,"Coyote brown Stool",$54.99,60
653,"Bright green Dining Table",$800,72
654,"Dark turquoise Sectional","$1,039.99",55
655,"British racing green Stool",$54.99,21
656,"Cool grey Ottoman",$52.99,70
657,"Cadet blue Dining Chair",$89.99,52
658,"Hollywood cerise Sectional","$1,039.99",67
659,"Cadet grey Sleeper Sofa","$1,279.99",56
660,"Mikado yellow Bed",$389.99,17
661,"Egyptian blue Plant Stand",$42.99,21
662,"Steel Teal Sleeper Sofa","$1,279.99",64
663,"Mulberry Reclining Sofa","$1,119.99",74
664,"Fluorescent blue Dresser",$699.99,71
665,"China rose Coffee Table",$200,78
666,"Psychedelic purple Reclining Sofa","$1,119.99",17
667,"Wild Strawberry Storage Bench",$194.99,62
668,"Dark slate gray End Table",$39.99,9
669,"Charm pink Futon",$219.99,17
670,"Midnight blue Bed",$389.99,55
671,"Citrine Chaise Lounge",$235.99,12
672,"Teal blue Futon",$219.99,15
673,"Light salmon Stool",$54.99,60
674,"Ultra pink Bench",$114.99,31
675,"Selective yellow Crib",$289,52
676,"Blue bell Sofa",$649.99,48
677,"Bright green Chaise Lounge",$235.99,21
678,"Dark lava Futon",$219.99,47
679,"Emerald Ottoman",$52.99,59
680,"Cadmium yellow End Table",$39.99,22
681,"Indigo dye Coffee Table",$200,87
682,"Fern green Wardrobe",$719.99,70
683,"Cornflower blue Dining Chair",$89.99,42
684,"Fuzzy Wuzzy brown Headboard",$222.99,49
685,"Maximum red purple Dining Chair",$89.99,55
686,"Light salmon Storage Bench",$194.99,92
687,"Battleship grey Chaise Lounge",$235.99,3
688,"Forest green Headboard",$222.99,34
689,"Ultramarine Wardrobe",$719.99,94
690,"Phthalo blue Reclining Loveseat","$1,023.99",58
691,"Brick red Crib",$289,70
692,"UP maroon Daybed",$311.99,7
693,"Plump Purple Sectional","$1,039.99",78
694,"Cobalt blue Bench",$114.99,8
695,"Winter Sky End Table",$39.99,7
696,"Coyote brown Stool",$54.99,91
697,"Light periwinkle Daybed",$311.99,39
698,"Maximum blue purple Dresser",$699.99,9
699,"Spanish pink Chaise Lounge",$235.99,98
700,"Dutch white Dining Table",$800,4
701,"Cosmic cobalt Storage Bench",$194.99,59
702,"Cosmic cobalt Chaise Lounge",$235.99,10
703,"Italian sky blue Dining Table",$800,0
704,"Satin sheen gold Headboard",$222.99,36
705,"Purple navy End Table",$39.99,76
706,"Flame Dining Table",$800,99
707,"Ming Sofa",$649.99,20
708,"Green Sleeper Sofa","$1,279.99",35
709,"Blanched almond Reclining Loveseat","$1,023.99",45
710,"Dark chocolate Bed",$389.99,79
711,"Morning blue Reclining Sofa","$1,119.99",52
712,"Orange peel Sofa",$649.99,46
713,"White Headboard",$222.99,6
714,"Japanese carmine Sectional","$1,039.99",39
715,"Metallic Sunburst Wardrobe",$719.99,67
716,"Nickel Chaise Lounge",$235.99,57
717,"Pale pink Sleeper Sofa","$1,279.99",62
718,"Glossy grape Dining Table",$800,40
719,"Spanish orange End Table",$39.99,15
720,"Tea green Plant Stand",$42.99,0
721,"Canary Sleeper Sofa","$1,279.99",31
722,"Sacramento State green Sofa",$649.99,60
723,"Unmellow yellow Sectional","$1,039.99",54
724,"Pear Coffee Table",$200,5
725,"Coyote brown Reclining Sofa","$1,119.99",84
726,"UA blue Crib",$289,93
727,"Tuscan tan Sectional","$1,039.99",19
728,"Lawn green End Table",$39.99,56
729,"Coral Ottoman",$52.99,14
730,"Bud green Plant Stand",$42.99,49
731,"Mint cream Wardrobe",$719.99,81
732,"Ultra pink Storage Bench",$194.99,3
733,"Sizzling Red Futon",$219.99,6
734,"Pumpkin Chaise Lounge",$235.99,62
735,"Wine red Bench",$114.99,66
736,"Purple Dresser",$699.99,95
737,"Dark jungle green Dining Table",$800,16
738,"Asparagus green Plant Stand",$42.99,44
739,"Turquoise Wardrobe",$719.99,72
740,"Apricot Coffee Table",$200,88
741,"Steel pink Crib",$289,52
742,"Flame Stool",$54.99,0
743,"Sap green Plant Stand",$42.99,84
744,"Rose vale Sectional","$1,039.99",51
745,"Nadeshiko pink Headboard",$222.99,17
746,"Blaze orange Daybed",$311.99,37
747,"Unmellow yellow Dining Chair",$89.99,42
748,"Apricot Plant Stand",$42.99,32
749,"Tumbleweed brown Stool",$54.99,36
750,"Ebony Crib",$289,31
751,"Celadon blue Dining Chair",$89.99,87
752,"Asparagus green Bed",$389.99,50
753,"Cameo pink Storage Bench",$194.99,92
754,"Mango Loveseat",$269.99,5
755,"Pewter Blue Loveseat",$269.99,100
756,"Pink Sherbet Stool",$54.99,0
757,"Rojo Spanish red Dining Table",$800,46
758,"Granite gray Nightstand",$81.99,36
759,"Pakistan green Ottoman",$52.99,85
760,"British racing green Sectional","$1,039.99",73
761,"Flax Reclining Sofa","$1,119.99",63
762,"Bluetiful Wardrobe",$719.99,50
763,"Middle purple Daybed",$311.99,57
764,"Selective yellow Dining Table",$800,36
765,"Vegas gold Daybed",$311.99,2
766,"Maximum yellow Reclining Loveseat","$1,023.99",51
767,"Desert Storage Bench",$194.99,84
768,"Old mauve Headboard",$222.99,7
769,"Dark slate gray Daybed",$311.99,8
770,"Metallic Seaweed Ottoman",$52.99,99
771,"Wine dregs maroon Wardrobe",$719.99,1
772,"Amazon green Dining Chair",$89.99,50
773,"Dark slate gray Dining Table",$800,75
774,"Deep jungle green Nightstand",$81.99,88
775,"St. Patrick's blue Stool",$54.99,26
776,"Raspberry rose Bed",$389.99,64
777,"Dark brown Dining Chair",$89.99,0
778,"Indigo Chaise Lounge",$235.99,51
779,"Silver Sofa",$649.99,23
780,"Wild Strawberry Sectional","$1,039.99",36
781,"Tea green Stool",$54.99,50
782,"Carrot orange Storage Bench",$194.99,75
783,"Light coral Sectional","$1,039.99",4
784,"Cedar Chest Coffee Table",$200,57
785,"Lavender Coffee Table",$200,97
786,"Blue bell Bench",$114.99,20
787,"Steel pink Bed",$389.99,95
788,"Black Loveseat",$269.99,75
789,"Café au lait Futon",$219.99,33
790,"Pakistan green Dresser",$699.99,52
791,"Field drab Chaise Lounge",$235.99,76
792,"African violet Reclining Loveseat","$1,023.99",0
793,"Dark slate blue Dresser",$699.99,3
794,"Dark magenta Storage Bench",$194.99,10
795,"Fiery rose Sofa",$649.99,11
796,"Antique bronze End Table",$39.99,51
797,"Chestnut Headboard",$222.99,98
798,"Bluetiful Reclining Loveseat","$1,023.99",9
799,"Medium purple Chaise Lounge",$235.99,94
800,"Lemon yellow Sleeper Sofa","$1,279.99",8
801,"Pansy purple Plant Stand",$42.99,63
802,"Blue yonder Sleeper Sofa","$1,279.99",4
803,"Lavender Bench",$114.99,10
804,"Electric green Dresser",$699.99,32
805,"Chestnut Bed",$389.99,61
806,"Vanilla Bed",$389.99,16
807,"Spring bud Storage Bench",$194.99,100
808,"Laurel green Coffee Table",$200,47
809,"Mikado yellow Sleeper Sofa","$1,279.99",99
810,"Dark turquoise Dining Chair",$89.99,41
811,"French bistre Loveseat",$269.99,66
812,"Tumbleweed brown Storage Bench",$194.99,16
813,"Metallic Sunburst Coffee Table",$200,44
814,"Pale silver Crib",$289,99
815,"Japanese carmine Reclining Sofa","$1,119.99",97
816,"Indian yellow Headboard",$222.99,35
817,"Burgundy Loveseat",$269.99,51
818,"Persian red Sectional","$1,039.99",81
819,"Seashell Reclining Sofa","$1,119.99",95
820,"Light salmon Reclining Loveseat","$1,023.99",15
821,"Cadet grey Loveseat",$269.99,3
822,"Pale purple End Table",$39.99,9
823,"Emerald End Table",$39.99,77
824,"Royal yellow Futon",$219.99,73
825,"Spanish carmine Stool",$54.99,92
826,"Neon Carrot Nightstand",$81.99,76
827,"Spanish sky blue End Table",$39.99,78
828,"Wintergreen Dream Bed",$389.99,46
829,"Sonic silver Coffee Table",$200,98
830,"British racing green Nightstand",$81.99,64
831,"Candy apple red Futon",$219.99,1
832,"Antique bronze Daybed",$311.99,5
833,"Bittersweet shimmer Crib",$289,31
834,"Orchid Stool",$54.99,18
835,"Dark sienna Nightstand",$81.99,88
836,"Vanilla ice Chaise Lounge",$235.99,57
837,"Lavender blue Coffee Table",$200,83
838,"Cardinal Stool",$54.99,40
839,"Telemagenta Bench",$114.99,96
840,"Raw sienna Dresser",$699.99,60
841,"British racing green Storage Bench",$194.99,57
842,"Dutch white Stool",$54.99,86
843,"Neon green Plant Stand",$42.99,96
844,"Red Salsa Wardrobe",$719.99,38
845,"Cobalt blue Wardrobe",$719.99,74
846,"Blue Nightstand",$81.99,93
847,"French sky blue Plant Stand",$42.99,30
848,"Syracuse Orange Sectional","$1,039.99",51
849,"Tan Dining Table",$800,71
850,"Pink Sectional","$1,039.99",28
851,"Bud green Chaise Lounge",$235.99,55
852,"Rose Dust Sectional","$1,039.99",78
853,"Bottle green Loveseat",$269.99,47
854,"Amaranth red Wardrobe",$719.99,74
855,"Columbia Blue Stool",$54.99,18
856,"Cerulean blue Ottoman",$52.99,64
857,"Middle purple Sleeper Sofa","$1,279.99",6
858,"Old mauve Crib",$289,34
859,"Razzmatazz Headboard",$222.99,67
860,"Royal blue Headboard",$222.99,68
861,"Blue sapphire Crib",$289,46
862,"Screamin' Green Daybed",$311.99,39
863,"English violet Dining Chair",$89.99,92
864,"Amethyst Bed",$389.99,32
865,"Salmon pink Futon",$219.99,70
866,"Light green End Table",$39.99,50
867,"Payne's grey Sectional","$1,039.99",48
868,"Taupe Bed",$389.99,65
869,"Dark spring green Sectional","$1,039.99",49
870,"Sonic silver Daybed",$311.99,49
871,"Field drab Headboard",$222.99,100
872,"Amaranth red Reclining Loveseat","$1,023.99",14
873,"Unbleached silk Coffee Table",$200,59
874,"Amaranth pink Reclining Loveseat","$1,023.99",76
875,"Dark red Dining Table",$800,70
876,"Mantis green Daybed",$311.99,57
877,"Red Salsa Loveseat",$269.99,49
878,"Rojo Spanish red Chaise Lounge",$235.99,79
879,"Rufous Plant Stand",$42.99,63
880,"Neon blue Bench",$114.99,66
881,"Shiny Shamrock Sectional","$1,039.99",48
882,"Quinacridone magenta Coffee Table",$200,18
883,"Wild watermelon Ottoman",$52.99,85
884,"Maximum blue purple Coffee Table",$200,26
885,"Azure Loveseat",$269.99,86
886,"Pale pink Dresser",$699.99,89
887,"Teal Loveseat",$269.99,70
888,"Dark cornflower blue Dresser",$699.99,48
889,"Little boy blue Nightstand",$81.99,13
890,"Bronze Reclining Sofa","$1,119.99",77
891,"Maximum green Sofa",$649.99,100
892,"Tea rose Stool",$54.99,57
893,"Ash gray Headboard",$222.99,8
894,"Russian violet Bed",$389.99,79
895,"Old lavender Sleeper Sofa","$1,279.99",71
896,"Harvest gold Storage Bench",$194.99,98
897,"Shamrock green Reclining Sofa","$1,119.99",53
898,"Gray Dresser",$699.99,70
899,"Congo pink Wardrobe",$719.99,7
900,"Brown Sofa",$649.99,48
901,"Dark lava Dresser",$699.99,47
902,"Hot magenta Dresser",$699.99,58
903,"Amethyst Bed",$389.99,27
904,"Dark electric blue Bed",$389.99,5
905,"Wine red Sofa",$649.99,85
906,"Wine red Dining Table",$800,65
907,"Metallic Sunburst Futon",$219.99,59
908,"Screamin' Green Plant Stand",$42.99,44
909,"Vivid sky blue End Table",$39.99,97
910,"Mode beige Storage Bench",$194.99,97
911,"French sky blue Futon",$219.99,81
912,"Yellow Sunshine Coffee Table",$200,29
913,"Opera mauve Nightstand",$81.99,34
914,"St. Patrick's blue Sleeper Sofa","$1,279.99",5
915,"Lawn green Bench",$114.99,58
916,"Plum Daybed",$311.99,84
917,"Dark sea green Crib",$289,47
918,"Bitter lime Sofa",$649.99,38
919,"Olivine Nightstand",$81.99,41
920,"Pearly purple Coffee Table",$200,95
921,"Black Wardrobe",$719.99,55
922,"Mulberry Sofa",$649.99,3
923,"Tuscan tan Stool",$54.99,93
924,"Electric indigo Sofa",$649.99,23
925,"Rosy brown Stool",$54.99,50
926,"Cosmic cobalt Coffee Table",$200,41
927,"Quick Silver Sofa",$649.99,29
928,"Titanium yellow Dining Chair",$89.99,7
929,"Laser lemon Dresser",$699.99,77
930,"Harvest gold Dining Chair",$89.99,19
931,"Glossy grape Bed",$389.99,29
932,"Mountbatten pink Reclining Sofa","$1,119.99",47
933,"Orange soda Loveseat",$269.99,58
934,"Malachite green Nightstand",$81.99,40
935,"May green Crib",$289,88
936,"Forest green Storage Bench",$194.99,87
937,"Tuscan brown Loveseat",$269.99,38
938,"Magenta Bed",$389.99,22
939,"Champagne pink Sofa",$649.99,0
940,"Gray Storage Bench",$194.99,28
941,"Tango pink Bed",$389.99,93
942,"Lavender gray Sectional","$1,039.99",48
943,"Burgundy Plant Stand",$42.99,27
944,"Pastel pink Storage Bench",$194.99,22
945,"Earth yellow Bed",$389.99,95
946,"Lapis lazuli Reclining Sofa","$1,119.99",13
947,"Sugar Plum Chaise Lounge",$235.99,54
948,"Ash gray Dining Chair",$89.99,75
949,"Pale cerulean Sleeper Sofa","$1,279.99",94
950,"English red Dining Table",$800,69
951,"Venetian red Reclining Loveseat","$1,023.99",97
952,"Light steel blue Dining Table",$800,80
953,"Pink Sherbet End Table",$39.99,98
954,"Russian violet Reclining Loveseat","$1,023.99",7
955,"Almond Reclining Sofa","$1,119.99",27
956,"Lemon glacier Ottoman",$52.99,4
957,"Chinese yellow Futon",$219.99,65
958,"Cerulean Nightstand",$81.99,36
959,"Cadmium orange Stool",$54.99,5
960,"Uranian blue Nightstand",$81.99,71
961,"Tiffany Blue Loveseat",$269.99,51
962,"Tufts blue Wardrobe",$719.99,46
963,"Pacific blue Reclining Sofa","$1,119.99",76
964,"Cool grey Ottoman",$52.99,6
965,"Rust Nightstand",$81.99,52
966,"Old lace Headboard",$222.99,47
967,"Process yellow Sleeper Sofa","$1,279.99",37
968,"Magenta haze Loveseat",$269.99,45
969,"French mauve Wardrobe",$719.99,30
970,"Copper Storage Bench",$194.99,35
